TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1009022390	AT5G28050	AT5G28050.2	protein_coding	Specifically deaminates (de)guanosine to produce xanthosine with high specificity, which is further converted to xanthine, a key intermediate in purine metabolism and  nitrogen recycling.	GSDA; GUANOSINE DEAMINASE	 L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, extracellular region, flower, flower pedicel, flowering stage, guanosine deaminase activity, guard cell, hydrolase activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, purine nucleoside catabolic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:2092559	AT3G15580	AT3G15580.1	protein_coding	Encodes APG8, a component of autophagy conjugation pathway. Delivered to the lumens of vacuole under nitrogen-starvation condition.	APG8H; ATG8I; AUTOPHAGY 8H; AUTOPHAGY 8I	 Atg8 activating enzyme activity, Atg8-family ligase activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, autophagosome, autophagosome assembly, autophagosome maturation, autophagosome membrane, autophagy, autophagy of mitochondrion, carpel, cauline leaf, cellular response to nitrogen starvation, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphatidylethanolamine binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, protein-phosphatidylethanolamide deconjugating activity, root, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar lumen, vascular leaf, vascular leaf senescent stage	true
Gene:2098694	AT3G50610	AT3G50610.1	protein_coding	C-TERMINALLY ENCODED PEPTIDE (CEP), which is a post-translationally modified peptides that  plays essential role in root and shoot development, nitrogen absorption, nodule formation, and stress resilience.	C-TERMINALLY ENCODED PEPTIDE 9; CEP9	 apoplast, cellular response to nitrogen starvation, extracellular region, flower, hormone activity, nitrate import, petal differentiation and expansion stage, regulation of lateral root development, regulation of leaf morphogenesis, regulation of root development, response to ammonium ion, response to auxin, response to nitrogen compound, response to osmotic stress, response to potassium ion, root, root development	false
Gene:504954115	AT1G59835	AT1G59835.1	protein_coding	C-TERMINALLY ENCODED PEPTIDE (CEP), which is a post-translationally modified peptides that  plays essential role in root and shoot development, nitrogen absorption, nodule formation, and stress resilience.	C-TERMINALLY ENCODED PEPTIDE 2; CEP2	 apoplast, cellular response to nitrogen starvation, extracellular region, hormone activity, nitrate import, regulation of leaf morphogenesis, regulation of root development, regulation of shoot system development, response to ammonium ion, response to nitrate starvation, response to osmotic stress, root, root development	false
Gene:6532560488	AT3G30720	AT3G30720.2	protein_coding	QQS is an orphan gene that arose recently in the Arabidopsis thaliana lineage. It was first identified in a screen for genes with altered expression pattern in SS3 mutants which make an abundance of starch. Overexpression of QQS in Arabidopsis increases protein content and decreases total starch content. Thus it appears to function to modulate carbon/nitrogen allocation in Arabidopsis. Over expression of QQS in soybean, rice and maize also results in an increase in protein and decrease in starch levels suggesting that QQS affects similar pathways in a wide range of plants. QQS interacts with NF-YC4 in Arabidopsis and NF-YC4 homologs in rice, soybean and maize. In Arabidopsis QQS is localized the the cytoplasm and when complexed with NF-YC4 , it localizes to the nucleus. Putative OXS2-binding DEGs were constitutively activated by OXS2.	DEG6	 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, filament, flower, flower pedicel, flowering stage, fruit, guard cell, hydathode, hypocotyl, inflorescence meristem, innate immune response, leaf apex, leaf lamina, leaf lamina base, leaf trichome, mature plant embryo stage, mitochondrion, negative regulation of starch metabolic process, nucleus, papilla cell, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, positive regulation of protein metabolic process, protein binding, root, root cap, root tip, seed, sepal, shoot apex, shoot system, stamen, starch biosynthetic process, stem, style, vascular bundle, vascular leaf, vascular leaf senescent stage	false
Gene:2041528	AT2G42600	AT2G42600.1	protein_coding	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.PPC1 and PPC2 are crucial for balancing carbon and nitrogen metabolism.	ATPPC2; PHOSPHOENOLPYRUVATE CARBOXYLASE 2; PPC2	 chloroplast, cytoplasm, apoplast, vascular leaf, juvenile vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf, leaf apex, leaf development, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphoenolpyruvate carboxylase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, tricarboxylic acid cycle, vascular leaf, vascular leaf senescent stage	true
Gene:2171111	AT5G22510	AT5G22510.1	protein_coding	Encodes a chloroplast-targeted alkaline/neutral invertase that is implicated in the development of the photosynthetic apparatus and nitrogen assimilation in seedlings to control the sucrose to hexose ratio.	A/N-INVE; ALKALINE/NEUTRAL INVERTASE E; ARABIDOPSIS ALKALINE/NEUTRAL INVERTASE E; AT-A/N-INVE; INV-E	 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cotyledon development, flower, flower pedicel, flowering stage, glycopeptide alpha-N-acetylgalactosaminidase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, root, seed, sepal, shoot apex, shoot system, stamen, starch metabolic process, stem, sucrose alpha-glucosidase activity, sucrose catabolic process, vascular leaf, vascular leaf senescent stage	true
Gene:6530297948	AT5G43940	AT5G43940.2	protein_coding	Encodes a glutathione-dependent formaldehyde dehydrogenase (also known as class III type alcohol dehydrogenase) reduces S-nitrosoglutathione (GSNO), the condensation product of glutathione and NO, that is a naturally occurring NO reservoir and also a reactive nitrogen intermediate. Gene expression is reduced by wounding and induced by salicylic acid. Is required for the acclimation of plants to high temperature and for fertility.	HOT5; SENSITIVE TO HOT TEMPERATURES 5	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, S-(hydroxymethyl)glutathione dehydrogenase NAD activity, S-(hydroxymethyl)glutathione dehydrogenase NADP activity, S-(hydroxymethyl)glutathione dehydrogenase activity, S-nitrosoglutathione reductase activity, alcohol dehydrogenase activity, zinc-dependent, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, ethanol oxidation, flower, flower pedicel, flowering stage, formaldehyde catabolic process, formaldehyde metabolic process, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, peroxisome, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, programmed cell death, root, rosette leaf, seed, seed development, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532545906	AT3G50610	AT3G50610.2	protein_coding	C-TERMINALLY ENCODED PEPTIDE (CEP), which is a post-translationally modified peptides that  plays essential role in root and shoot development, nitrogen absorption, nodule formation, and stress resilience.	C-TERMINALLY ENCODED PEPTIDE 9; CEP9	 extracellular region, apoplast, cellular response to nitrogen starvation, extracellular region, flower, hormone activity, nitrate import, petal differentiation and expansion stage, regulation of lateral root development, regulation of leaf morphogenesis, regulation of root development, response to ammonium ion, response to auxin, response to nitrogen compound, response to osmotic stress, response to potassium ion, root, root development	false
Gene:4515100480	AT1G02860	AT1G02860.2	protein_coding	Encodes a ubiquitin E3 ligase with RING and SPX domains that is involved in mediating immune responses and mediates degradation of PHT1s at plasma membranes.  Targeted by MIR827. Ubiquitinates PHT1;3, PHT1;2, PHT1;1/AtPT1 and PHT1;4/AtPT2.	NITROGEN LIMITATION ADAPTATION; NLA; SYG1	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, gynoecium, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant-type hypersensitive response, plasma membrane, pollen, protein binding, protein ubiquitination, receptacle, regulation of salicylic acid metabolic process, response to benzoic acid, response to nitrate, response to salicylic acid, root, rosette leaf, salicylic acid biosynthetic process, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, systemic acquired resistance, ubiquitin-protein transferase activity, vascular leaf, vascular leaf senescent stage	true
Gene:6532562470	AT2G42600	AT2G42600.3	protein_coding	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.PPC1 and PPC2 are crucial for balancing carbon and nitrogen metabolism.		 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf, leaf apex, leaf development, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphoenolpyruvate carboxylase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, tricarboxylic acid cycle, vascular leaf, vascular leaf senescent stage	true
Gene:2026862	AT1G68670	AT1G68670.1	protein_coding	HHO2 is a HRS1 homolog. Nitrate-inducible expression. Also induced in roots by low Pi and is likely involved in maintaining phosphate homeostasis. It is  target of PHR1.Both HHO2 and HRS1 are involved in Ni cross regulation of Pi signaling. They function as transcriptional repressors of SPX1, SPX2, and SPX4 as part of a cascade to regulate nitrogen and phosphorus balance. Transcriptional repressors that functions with other NIGT genes as an important hub in the nutrient signaling network associated with the acquisition and use of nitrogen and phosphorus.	HHO2; NIGT1.2; NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW PI-ELICITED PRIMARY ROOT SHORTENING 1.2	 DNA-binding transcription factor activity, DNA-binding transcription repressor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to hypoxia, collective leaf structure, cotyledon, endodermis, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phosphate ion homeostasis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, primary root, protein binding, regulation of DNA-templated transcription, response to abscisic acid, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:2042936	AT2G38100	AT2G38100.1	protein_coding	Encodes a nitrate transporter that is involved in nitrogen accumulation in embryos.	NPF5.5	 extracellular region, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, amino acid transmembrane transporter activity, cotyledon, dipeptide transmembrane transporter activity, dipeptide transport, extracellular region, flower, flower pedicel, flowering stage, hypocotyl, membrane, nitrate transmembrane transport, plant embryo, plant sperm cell, root, sepal, shoot apex, shoot system, stem, transmembrane transport, transmembrane transporter activity, uracil transmembrane transporter activity, vascular leaf	false
Gene:2195999	AT1G77300	AT1G77300.1	protein_coding	Encodes a protein with histone lysine N-methyltransferase activity required specifically for the trimethylation of H3-K4 in FLC chromatin (and not in H3-K36 dimethylation). Acts as an inhibitor of flowering specifically involved in the autonomous promotion pathway. EFS also regulates the expression of genes involved in carotenoid biosynthesis and nitrogen assimilation.Modification of histone methylation at the CRTISO locus reduces transcript levels 90%. The increased shoot branching seen in some EFS mutants is likely due to the carotenoid biosynthesis defect having an effect on stringolactones.Required for ovule, embryo sac, anther and pollen development.	ASH1 HOMOLOG 2; ASHH2; CARBON AND LIGHT INSENSITIVE 186; CAROTENOID CHLOROPLAST REGULATORY1; CCR1; CLI186; EARLY FLOWERING IN SHORT DAYS; EFS; LAZ2; LAZARUS 2; SDG8; SET DOMAIN GROUP 8	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT histone H3K36 methyltransferase activity, SUMO binding, anther development, carotenoid metabolic process, carpel, chromatin, collective leaf structure, cotyledon, embryo sac development, epigenetic regulation of gene expression, flower, flower pedicel, flowering stage, guard cell, histone H3K36 methyltransferase activity, histone H3K4 methyltransferase activity, hypocotyl, inflorescence, inflorescence meristem, leaf lamina base, mature plant embryo stage, negative regulation of flower development, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen development, protein binding, regulation of DNA-templated transcription, regulation of plant-type hypersensitive response, regulation of programmed cell death, response to nitrate starvation, root, root tip, secondary shoot formation, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532552036	AT2G38100	AT2G38100.2	protein_coding	Encodes a nitrate transporter that is involved in nitrogen accumulation in embryos.		 extracellular region, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, amino acid transmembrane transporter activity, cotyledon, dipeptide transmembrane transporter activity, dipeptide transport, extracellular region, flower, flower pedicel, flowering stage, hypocotyl, membrane, nitrate transmembrane transport, plant embryo, plant sperm cell, root, sepal, shoot apex, shoot system, stem, transmembrane transport, transmembrane transporter activity, uracil transmembrane transporter activity, vascular leaf	false
Gene:2085983	AT3G25790	AT3G25790.1	protein_coding	Encodes a nuclear localized member of the GARP family of transcription factors. Along with AtNIGT1/HRS1 it is involved in nitrate and phosphate signaling in the root. Transcriptional repressors that functions with other NIGT genes as an important hub in the nutrient signaling network associated with the acquisition and use of nitrogen and phosphorus.	HHO1; HRS1 HOMOLOGUE 1; NIGT1.3; NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW PI-ELICITED PRIMARY ROOT SHORTENING 1.3	 nucleus, DNA binding, DNA-binding transcription factor activity, cellular response to phosphate starvation, hypocotyl, nucleus, protein binding, regulation of DNA-templated transcription, response to nitrate starvation, root	true
Gene:2178962	AT5G21170	AT5G21170.1	protein_coding	Encodes AKINbeta1, a subunit of the SnRK1 kinase (Sucrose non-fermenting-1-related protein kinase).  Involved in regulation of nitrogen and sugar metabolism. As part of the regulatory subunit, it binds maltose which promotes kinase activity. Acts as a global regulator of genes involved in carbon, lipid and nitrogen metabolism.	AKINBETA1; KINBETA1	 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, N-terminal protein myristoylation, carpel, cauline leaf, cellular response to nitrogen levels, chloroplast, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, maltose binding, mature plant embryo stage, nucleotide-activated protein kinase complex, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plant sperm cell, pollen, pollen tube cell, protein binding, protein kinase regulator activity, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532560370	AT5G22510	AT5G22510.2	protein_coding	Encodes a chloroplast-targeted alkaline/neutral invertase that is implicated in the development of the photosynthetic apparatus and nitrogen assimilation in seedlings to control the sucrose to hexose ratio.		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cotyledon development, flower, flower pedicel, flowering stage, glycopeptide alpha-N-acetylgalactosaminidase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, root, seed, sepal, shoot apex, shoot system, stamen, starch metabolic process, stem, sucrose alpha-glucosidase activity, sucrose catabolic process, vascular leaf, vascular leaf senescent stage	true
Gene:2179151	AT5G01340	AT5G01340.1	protein_coding	Transports citrate, isocitrate and aconitate, succinate and fumarate. Catalyzes a fast counter-exchange transport as well as a low uniport of substrates, exhibits a higher transport affinity for tricarboxylates than dicarboxylates. Might be involved in storage oil mobilization  78 at early stages of seedling growth and in nitrogen assimilation in root tissue by  79 catalyzing citrate/isocitrate or citrate/succinate exchanges.	ATMSFC1; MITOCHONDRIAL SUCCINATE-FUMARATE CARRIER 1; MSFC1; SFC1; SUCCINATE/FUMARATE CARRIER 1	 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, alpha-ketoglutarate transport, carpel, cauline leaf, citrate transport, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fumarate transport, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, malate transport, mature plant embryo stage, mitochondrial membrane, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, root, root tip, seed, sepal, shoot apex, shoot system, stamen, stem, succinate transmembrane transporter activity, succinate transport, succinate:fumarate antiporter activity, transport, vascular leaf, vascular leaf senescent stage	true
Gene:2062813	AT2G28260	AT2G28260.1	protein_coding	Cyclic nucleotide gated channel family member, involved in response to calcium and nitrate induced calcium signaling.Forms a membrane complex with NRT1.1 that couples nitrogen sensing with Ca2+ signaling.	ATCNGC15; CNGC15; CYCLIC NUCLEOTIDE-GATED CHANNEL 15	 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion transmembrane transport, calcium ion transmembrane transporter activity, carpel, cauline leaf, cellular response to nitrate, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, plasma membrane, protein binding, response to bacterium, response to calcium ion, root, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, voltage-gated potassium channel activity	false
Gene:2079465	AT3G30720	AT3G30720.1	protein_coding	QQS is an orphan gene that arose recently in the Arabidopsis thaliana lineage. It was first identified in a screen for genes with altered expression pattern in SS3 mutants which make an abundance of starch. Overexpression of QQS in Arabidopsis increases protein content and decreases total starch content. Thus it appears to function to modulate carbon/nitrogen allocation in Arabidopsis. Over expression of QQS in soybean, rice and maize also results in an increase in protein and decrease in starch levels suggesting that QQS affects similar pathways in a wide range of plants. QQS interacts with NF-YC4 in Arabidopsis and NF-YC4 homologs in rice, soybean and maize. In Arabidopsis QQS is localized the the cytoplasm and when complexed with NF-YC4 , it localizes to the nucleus. Putative OXS2-binding DEGs were constitutively activated by OXS2.	DEG6; QQS; QUA-QUINE STARCH	 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, filament, flower, flower pedicel, flowering stage, fruit, guard cell, hydathode, hypocotyl, inflorescence meristem, innate immune response, leaf apex, leaf lamina, leaf lamina base, leaf trichome, mature plant embryo stage, mitochondrion, negative regulation of starch metabolic process, nucleus, papilla cell, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, positive regulation of protein metabolic process, protein binding, root, root cap, root tip, seed, sepal, shoot apex, shoot system, stamen, starch biosynthetic process, stem, style, vascular bundle, vascular leaf, vascular leaf senescent stage	false
Gene:1006229778	AT1G72130	AT1G72130.2	protein_coding	Tonoplast localized pH dependent, low affinity nitrogen transporter.In shoots,  expressed in leaf veins and mesophyll. In roots, GUS activity was detected in root vascular stele. More highly expressed in roots.	NPF5.11	 dipeptide transmembrane transporter activity, guard cell, leaf, low-affinity nitrate transmembrane transporter activity, membrane, nitrate transmembrane transport, plant-type vacuole membrane, root vascular system, shoot system vascular system, transmembrane transport, transmembrane transporter activity, tripeptide transmembrane transporter activity	true
Gene:6532562226	AT3G03910	AT3G03910.2	protein_coding	GDH3 encodes a member of the glutamate dehydrogenease family. Its expression is upregulated in response to cytokinin and it may play a role in the control of nitrogen metabolism in leaf development.		 chloroplast, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, amino acid metabolic process, carpel, cauline leaf, chloroplast, collective leaf structure, cytosol, flower, flowering stage, glutamate catabolic process, glutamate dehydrogenase (NAD+) activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mitochondrion, oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor, petal, petal differentiation and expansion stage, plant embryo, plant embryo cotyledonary stage, plant embryo globular stage, pollen, regulation of nitrogen compound metabolic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:4010713391	AT5G65720	AT5G65720.2	protein_coding	Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).	ARABIDOPSIS THALIANA NITROGEN FIXATION S (NIFS)-LIKE 1; ATNFS1; ATNIFS1; NFS1; NIFS1; NITROGEN FIXATION S (NIFS)-LIKE 1; NITROGEN FIXATION S HOMOLOG 1	 chloroplast, mitochondrion, ATP binding, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, [2Fe-2S] cluster assembly, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cysteine desulfurase activity, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, iron-sulfur cluster assembly, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein binding, pyridoxal phosphate binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6530296293	AT1G32130	AT1G32130.2	protein_coding	The C-terminal portion of this protein has high homology to the C-termini of the IWS1 (Interacts With Spt6) proteins found in yeast and humans. Interacts with transcription factor BES1. Involved in brassinosteroid-regulated gene expression.	HIGH NITROGEN INSENSITIVE 9; HNI9; IWS1	 nucleus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, brassinosteroid mediated signaling pathway, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, regulation of DNA-templated transcription elongation, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2157412	AT5G50950	AT5G50950.1	protein_coding	Encodes a fumarase enzyme initially shown to be in the mitochondria through proteomic studies but later shown to be present in the cytosol using an RFP fluorescent protein tag. It appears to be important for the accumulation of fumarate from malate in leaves in the light, and helps to promote nitrogen assimilation under high nitrogen conditions. It does not appear to be necessary for lipid metabolism and seedling growth. Inhibition of fumarate accumulation results in an overall shift in the cold response of leaves, with a complete inhibition of cold acclimation of photosynthesis.	FUM2; FUMARASE 2	 root, L mature pollen stage, M germinated pollen stage, chloroplast, cold acclimation, cytosol, fumarate hydratase activity, fumarate metabolic process, guard cell, malate metabolic process, mitochondrion, nitrate assimilation, plastid, pollen, pollen tube cell, protein binding, protein tetramerization, regulation of photosynthesis, root, rosette leaf, tricarboxylic acid cycle, tricarboxylic acid cycle enzyme complex	true
